label,path,dictionary,tensor_path
vacina,['/mnt/F-SSD/LIBRAS_datasets/datasets/spread_the_sign/videos/vacinação.mp4'],SpreadTheSign,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/vacina/SpreadTheSign_vacinação.pt']
vacina,['/mnt/F-SSD/LIBRAS_datasets/datasets/spread_the_sign/videos/vacina.mp4'],SpreadTheSign,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/vacina/SpreadTheSign_vacina.pt']
acontecer,['/mnt/F-SSD/dataset-ufpe/Acontecer_1.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/acontecer/UFPE_Acontecer_1.pt']
acontecer,['/mnt/F-SSD/dataset-ufpe/Acontecer_2.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/acontecer/UFPE_Acontecer_2.pt']
acontecer,['/mnt/F-SSD/dataset-ufpe/Acontecer_3.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/acontecer/UFPE_Acontecer_3.pt']
aluno,['/mnt/F-SSD/dataset-ufpe/Aluno_do_Segundo_Ano_do_Ensino_Médio_1.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/aluno/UFPE_Aluno_do_Segundo_Ano_do_Ensino_Médio_1.pt']
aluno,['/mnt/F-SSD/dataset-ufpe/Aluno_do_Segundo_Ano_do_Ensino_Médio_2.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/aluno/UFPE_Aluno_do_Segundo_Ano_do_Ensino_Médio_2.pt']
aluno,['/mnt/F-SSD/dataset-ufpe/Aluno_do_Segundo_Ano_do_Ensino_Médio_3.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/aluno/UFPE_Aluno_do_Segundo_Ano_do_Ensino_Médio_3.pt']
amarelo,['/mnt/F-SSD/dataset-ufpe/Amarelo_1.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/amarelo/UFPE_Amarelo_1.pt']
amarelo,['/mnt/F-SSD/dataset-ufpe/Amarelo_2.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/amarelo/UFPE_Amarelo_2.pt']
amarelo,['/mnt/F-SSD/dataset-ufpe/Amarelo_3.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/amarelo/UFPE_Amarelo_3.pt']
banheiro,['/mnt/F-SSD/dataset-ufpe/Banheiro_1.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banheiro/UFPE_Banheiro_1.pt']
banheiro,['/mnt/F-SSD/dataset-ufpe/Banheiro_2.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banheiro/UFPE_Banheiro_2.pt']
banheiro,['/mnt/F-SSD/dataset-ufpe/Banheiro_3.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banheiro/UFPE_Banheiro_3.pt']
barulho,['/mnt/F-SSD/dataset-ufpe/Barulho_1.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/barulho/UFPE_Barulho_1.pt']
barulho,['/mnt/F-SSD/dataset-ufpe/Barulho_2.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/barulho/UFPE_Barulho_2.pt']
barulho,['/mnt/F-SSD/dataset-ufpe/Barulho_3.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/barulho/UFPE_Barulho_3.pt']
espelho,['/mnt/F-SSD/dataset-ufpe/Espelho_1.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/espelho/UFPE_Espelho_1.pt']
espelho,['/mnt/F-SSD/dataset-ufpe/Espelho_2.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/espelho/UFPE_Espelho_2.pt']
espelho,['/mnt/F-SSD/dataset-ufpe/Espelho_3.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/espelho/UFPE_Espelho_3.pt']
filho,['/mnt/F-SSD/dataset-ufpe/Filho_1.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/filho/UFPE_Filho_1.pt']
filho,['/mnt/F-SSD/dataset-ufpe/Filho_2.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/filho/UFPE_Filho_2.pt']
filho,['/mnt/F-SSD/dataset-ufpe/Filho_3.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/filho/UFPE_Filho_3.pt']
maca,['/mnt/F-SSD/dataset-ufpe/Maçã_(rosto)_1.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/maca/UFPE_Maçã_(rosto)_1.pt']
maca,['/mnt/F-SSD/dataset-ufpe/Maçã_(rosto)_2.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/maca/UFPE_Maçã_(rosto)_2.pt']
maca,['/mnt/F-SSD/dataset-ufpe/Maçã_(rosto)_3.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/maca/UFPE_Maçã_(rosto)_3.pt']
ruim,['/mnt/F-SSD/dataset-ufpe/Ruim_1.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/ruim/UFPE_Ruim_1.pt']
ruim,['/mnt/F-SSD/dataset-ufpe/Ruim_2.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/ruim/UFPE_Ruim_2.pt']
ruim,['/mnt/F-SSD/dataset-ufpe/Ruim_3.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/ruim/UFPE_Ruim_3.pt']
acontecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/ACONTECER.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/acontecer/UFSC_ACONTECER.pt']
acontecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/ACONTECER2.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/acontecer/UFSC_ACONTECER2.pt']
aluno,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/ALUNO.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/aluno/UFSC_ALUNO.pt']
amarelo,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/AMARELO.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/amarelo/UFSC_AMARELO.pt']
america,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/AM%C3%89RICA.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/america/UFSC_AM%C3%89RICA.pt']
aproveitar,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/APROVEITAR.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/aproveitar/UFSC_APROVEITAR.pt']
bala,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/BALA.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/bala/UFSC_BALA.pt']
banco,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/BANCO.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banco/UFSC_BANCO.pt']
banheiro,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/BANHEIRO.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banheiro/UFSC_BANHEIRO.pt']
barulho,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/BARULHO.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/barulho/UFSC_BARULHO.pt']
conhecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/CONHECER.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/conhecer/UFSC_CONHECER.pt']
espelho,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/ESPELHO.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/espelho/UFSC_ESPELHO.pt']
esquina,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/ESQUINA.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/esquina/UFSC_ESQUINA.pt']
filho,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/FILHO.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/filho/UFSC_FILHO.pt']
medo,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/MEDO.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/medo/UFSC_MEDO.pt']
ruim,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/RUIM.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/ruim/UFSC_RUIM.pt']
sapo,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/SAPO.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/sapo/UFSC_SAPO.pt']
vacina,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/VACINA.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/vacina/UFSC_VACINA.pt']
vontade,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/VONTADE.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/vontade/UFSC_VONTADE.pt']
acontecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc_v2/videos/ACONTECER.mp4'],UFSC_V2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/acontecer/UFSC_V2_ACONTECER.pt']
acontecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc_v2/videos/ACONTECER2.mp4'],UFSC_V2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/acontecer/UFSC_V2_ACONTECER2.pt']
aluno,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc_v2/videos/ALUNO.mp4'],UFSC_V2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/aluno/UFSC_V2_ALUNO.pt']
amarelo,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc_v2/videos/AMARELO.mp4'],UFSC_V2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/amarelo/UFSC_V2_AMARELO.pt']
america,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc_v2/videos/AMÉRICA.mp4'],UFSC_V2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/america/UFSC_V2_AMÉRICA.pt']
aproveitar,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc_v2/videos/APROVEITAR.mp4'],UFSC_V2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/aproveitar/UFSC_V2_APROVEITAR.pt']
bala,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc_v2/videos/BALA.mp4'],UFSC_V2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/bala/UFSC_V2_BALA.pt']
banco,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc_v2/videos/BANCO.mp4'],UFSC_V2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banco/UFSC_V2_BANCO.pt']
banheiro,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc_v2/videos/BANHEIRO.mp4'],UFSC_V2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banheiro/UFSC_V2_BANHEIRO.pt']
barulho,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc_v2/videos/BARULHO.mp4'],UFSC_V2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/barulho/UFSC_V2_BARULHO.pt']
conhecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc_v2/videos/CONHECER.mp4'],UFSC_V2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/conhecer/UFSC_V2_CONHECER.pt']
espelho,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc_v2/videos/ESPELHO.mp4'],UFSC_V2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/espelho/UFSC_V2_ESPELHO.pt']
esquina,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc_v2/videos/ESQUINA.mp4'],UFSC_V2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/esquina/UFSC_V2_ESQUINA.pt']
filho,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc_v2/videos/FILHO.mp4'],UFSC_V2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/filho/UFSC_V2_FILHO.pt']
medo,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc_v2/videos/MEDO.mp4'],UFSC_V2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/medo/UFSC_V2_MEDO.pt']
ruim,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc_v2/videos/RUIM.mp4'],UFSC_V2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/ruim/UFSC_V2_RUIM.pt']
sapo,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc_v2/videos/SAPO.mp4'],UFSC_V2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/sapo/UFSC_V2_SAPO.pt']
vacina,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc_v2/videos/VACINA.mp4'],UFSC_V2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/vacina/UFSC_V2_VACINA.pt']
vontade,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc_v2/videos/VONTADE.mp4'],UFSC_V2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/vontade/UFSC_V2_VONTADE.pt']
acontecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufv/videos/01559-Acontecer.mp4'],UFV,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/acontecer/UFV_01559-Acontecer.pt']
america,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufv/videos/00999-america.mp4'],UFV,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/america/UFV_00999-america.pt']
bala,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufv/videos/bala.mp4'],UFV,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/bala/UFV_bala.pt']
banheiro,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufv/videos/683-banheiro.mp4'],UFV,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banheiro/UFV_683-banheiro.pt']
conhecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufv/videos/01617-Conhecer.mp4'],UFV,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/conhecer/UFV_01617-Conhecer.pt']
filho,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufv/videos/900-filho.mp4'],UFV,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/filho/UFV_900-filho.pt']
aluno,['/mnt/F-SSD/LIBRAS_datasets/datasets/usp/videos/aluno.mp4'],USP,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/aluno/USP_aluno.pt']
amarelo,['/mnt/F-SSD/LIBRAS_datasets/datasets/usp/videos/amarelo.mp4'],USP,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/amarelo/USP_amarelo.pt']
bala,['/mnt/F-SSD/LIBRAS_datasets/datasets/usp/videos/bala.mp4'],USP,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/bala/USP_bala.pt']
barulho,['/mnt/F-SSD/LIBRAS_datasets/datasets/usp/videos/barulho.mp4'],USP,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/barulho/USP_barulho.pt']
conhecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/usp/videos/conhecer.mp4'],USP,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/conhecer/USP_conhecer.pt']
filho,['/mnt/F-SSD/LIBRAS_datasets/datasets/usp/videos/filho.mp4'],USP,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/filho/USP_filho.pt']
maca,['/mnt/F-SSD/LIBRAS_datasets/datasets/usp/videos/maçã.mp4'],USP,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/maca/USP_maçã.pt']
ruim,['/mnt/F-SSD/LIBRAS_datasets/datasets/usp/videos/ruim.mp4'],USP,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/ruim/USP_ruim.pt']
